"","betweenness(g, normalized = TRUE)","degree(g)","eigen_centrality(g, weights = E(g)$weight)$vector"
"5LP0184 Locus 2",0.110507246376812,6,0.259816783753803
"5LP0244 Locus 1",0.0036231884057971,5,0.45916901177102
"5LP0246",0.0326086956521739,7,0.697612597604623
"5LP0245 Locus 2",0,1,0.0372985447304532
"5LP0245 Locus 3",0,1,0.0938755681835992
"5LP0245 Locus 4",0.036231884057971,4,0.236274626739311
"5LP0245 Locus 5",0.0144927536231884,6,0.465169718858984
"5LP0245 Locus 7",0.0996376811594203,8,0.696534669451731
"5LP0245 Locus 8",0.0543478260869565,7,0.588026669027039
"5LP0245 Locus 9",0.0561594202898551,10,0.858020402287101
"5LP0185 Locus 1",0,0,0
"5LP0185 Locus 2",0.0797101449275362,4,0.283036134291979
"5LP0187 Locus 1",0,2,0.0565826924014317
"5LP0187 Locus 2",0,1,0.0350168473562447
"5LP0237 Locus 2",0,2,0.0851577295612209
"5LP0176",0,3,0.257867715772073
"5LP0177 Locus 1",0.286231884057971,13,1
"5LP0179",0.0144927536231884,4,0.336578163131616
"5LP0239",0.00543478260869565,8,0.801754208008861
"5LP0240",0.0489130434782609,6,0.385355807545184
"5LP0241",0,0,0
"5LP0242",0.0199275362318841,8,0.748327966756397
"5LP2026 Locus 1",0.088768115942029,3,0.171504012258294
"5LP2026 Locus 2",0.135869565217391,10,0.831461738069872
"5LP2091",0.0108695652173913,5,0.424242813835333
